Skip?,Status,city,lat,lng,radius,query
No,,Philadelphia,39.9526,-74.87139320214615,25000,tabletop gaming store
No,,Philadelphia,40.14765076661811,-75.01829660107308,25000,tabletop gaming store
No,,Philadelphia,40.14765076661811,-75.31210339892692,25000,tabletop gaming store
No,,Philadelphia,39.9526,-75.45900679785385,25000,tabletop gaming store
No,,Philadelphia,39.75754923338188,-75.31210339892692,25000,tabletop gaming store
No,,Philadelphia,39.75754923338188,-75.01829660107308,25000,tabletop gaming store
No,,Detroit,42.3314,-82.74113781075862,25000,witch store
No,,Detroit,42.52645076661812,-82.89346890537931,25000,witch store
No,,Detroit,42.52645076661812,-83.19813109462069,25000,witch store
No,,Detroit,42.3314,-83.35046218924138,25000,witch store
No,,Detroit,42.136349233381885,-83.19813109462069,25000,witch store
No,,Detroit,42.136349233381885,-82.89346890537931,25000,witch store
No,,Detroit,42.3314,-82.74113781075862,25000,tabletop gaming store
No,,Detroit,42.52645076661812,-82.89346890537931,25000,tabletop gaming store
No,,Detroit,42.52645076661812,-83.19813109462069,25000,tabletop gaming store
No,,Detroit,42.3314,-83.35046218924138,25000,tabletop gaming store
No,,Detroit,42.136349233381885,-83.19813109462069,25000,tabletop gaming store
No,,Detroit,42.136349233381885,-82.89346890537931,25000,tabletop gaming store
No,,Pittsburgh,40.4406,-79.69997110461829,25000,witch store
No,,Pittsburgh,40.63565076661812,-79.84793555230914,25000,witch store
No,,Pittsburgh,40.63565076661812,-80.14386444769087,25000,witch store
No,,Pittsburgh,40.4406,-80.29182889538173,25000,witch store
No,,Pittsburgh,40.24554923338189,-80.14386444769087,25000,witch store
No,,Pittsburgh,40.24554923338189,-79.84793555230914,25000,witch store
No,,Pittsburgh,40.4406,-79.69997110461829,25000,tabletop gaming store
No,,Pittsburgh,40.63565076661812,-79.84793555230914,25000,tabletop gaming store
No,,Pittsburgh,40.63565076661812,-80.14386444769087,25000,tabletop gaming store
No,,Pittsburgh,40.4406,-80.29182889538173,25000,tabletop gaming store
No,,Pittsburgh,40.24554923338189,-80.14386444769087,25000,tabletop gaming store
No,,Pittsburgh,40.24554923338189,-79.84793555230914,25000,tabletop gaming store
No,,Miami,25.7617,-79.94171911155529,25000,witch store
No,,Miami,25.956750766618118,-80.06675955577764,25000,witch store
No,,Miami,25.956750766618118,-80.31684044422236,25000,witch store
No,,Miami,25.7617,-80.44188088844471,25000,witch store
No,,Miami,25.566649233381884,-80.31684044422236,25000,witch store
No,,Miami,25.566649233381884,-80.06675955577764,25000,witch store
No,,Orlando,28.5383,-81.1228246446212,25000,witch store
No,,Orlando,28.733350766618116,-81.2510123223106,25000,witch store
No,,Orlando,28.733350766618116,-81.5073876776894,25000,witch store
No,,Orlando,28.5383,-81.63557535537879,25000,witch store
No,,Orlando,28.343249233381883,-81.5073876776894,25000,witch store
No,,Orlando,28.343249233381883,-81.2510123223106,25000,witch store
No,,Memphis,35.1495,-89.77354656989655,25000,tabletop gaming store
No,,Memphis,35.34455076661812,-89.91127328494828,25000,tabletop gaming store
No,,Memphis,35.34455076661812,-90.18672671505173,25000,tabletop gaming store
No,,Memphis,35.1495,-90.32445343010346,25000,tabletop gaming store
No,,Memphis,34.95444923338189,-90.18672671505173,25000,tabletop gaming store
No,,Memphis,34.95444923338189,-89.91127328494828,25000,tabletop gaming store
No,,Dallas,32.7767,-96.52912564913373,25000,tabletop gaming store
No,,Dallas,32.971750766618115,-96.66306282456686,25000,tabletop gaming store
No,,Dallas,32.971750766618115,-96.93093717543313,25000,tabletop gaming store
No,,Dallas,32.7767,-97.06487435086626,25000,tabletop gaming store
No,,Dallas,32.58164923338188,-96.93093717543313,25000,tabletop gaming store
No,,Dallas,32.58164923338188,-96.66306282456686,25000,tabletop gaming store
No,,Tulsa,36.15398,-95.71383066101191,25000,tabletop gaming store
No,,Tulsa,36.349030766618114,-95.85330033050595,25000,tabletop gaming store
No,,Tulsa,36.349030766618114,-96.13223966949404,25000,tabletop gaming store
No,,Tulsa,36.15398,-96.27170933898807,25000,tabletop gaming store
No,,Tulsa,35.95892923338188,-96.13223966949404,25000,tabletop gaming store
No,,Tulsa,35.95892923338188,-95.85330033050595,25000,tabletop gaming store
No,,Denver,39.7392,-104.69740500289632,25000,witch store
No,,Denver,39.93425076661811,-104.84385250144815,25000,witch store
No,,Denver,39.93425076661811,-105.13674749855186,25000,witch store
No,,Denver,39.7392,-105.28319499710369,25000,witch store
No,,Denver,39.54414923338188,-105.13674749855186,25000,witch store
No,,Denver,39.54414923338188,-104.84385250144815,25000,witch store
No,,Denver,39.7392,-104.69740500289632,25000,tabletop gaming store
No,,Denver,39.93425076661811,-104.84385250144815,25000,tabletop gaming store
No,,Denver,39.93425076661811,-105.13674749855186,25000,tabletop gaming store
No,,Denver,39.7392,-105.28319499710369,25000,tabletop gaming store
No,,Denver,39.54414923338188,-105.13674749855186,25000,tabletop gaming store
No,,Denver,39.54414923338188,-104.84385250144815,25000,tabletop gaming store
No,,Salt Lake City,40.7608,-111.59365017459756,25000,witch store
No,,Salt Lake City,40.95585076661812,-111.74232508729878,25000,witch store
No,,Salt Lake City,40.95585076661812,-112.03967491270123,25000,witch store
No,,Salt Lake City,40.7608,-112.18834982540245,25000,witch store
No,,Salt Lake City,40.56574923338189,-112.03967491270123,25000,witch store
No,,Salt Lake City,40.56574923338189,-111.74232508729878,25000,witch store
No,,Salt Lake City,40.7608,-111.59365017459756,25000,tabletop gaming store
No,,Salt Lake City,40.95585076661812,-111.74232508729878,25000,tabletop gaming store
No,,Salt Lake City,40.95585076661812,-112.03967491270123,25000,tabletop gaming store
No,,Salt Lake City,40.7608,-112.18834982540245,25000,tabletop gaming store
No,,Salt Lake City,40.56574923338189,-112.03967491270123,25000,tabletop gaming store
No,,Salt Lake City,40.56574923338189,-111.74232508729878,25000,tabletop gaming store
No,,Washington,38.9072,-76.74746851949799,25000,tabletop gaming store
No,,Washington,39.10225076661812,-76.89218425974899,25000,tabletop gaming store
No,,Washington,39.10225076661812,-77.18161574025102,25000,tabletop gaming store
No,,Washington,38.9072,-77.32633148050202,25000,tabletop gaming store
No,,Washington,38.712149233381886,-77.18161574025102,25000,tabletop gaming store
No,,Washington,38.712149233381886,-76.89218425974899,25000,tabletop gaming store
No,,Columbus,39.9612,-82.70495625210337,25000,witch store
No,,Columbus,40.156250766618115,-82.85187812605169,25000,witch store
No,,Columbus,40.156250766618115,-83.14572187394832,25000,witch store
No,,Columbus,39.9612,-83.29264374789663,25000,witch store
No,,Columbus,39.76614923338188,-83.14572187394832,25000,witch store
No,,Columbus,39.76614923338188,-82.85187812605169,25000,witch store
No,,Columbus,39.9612,-82.70495625210337,25000,tabletop gaming store
No,,Columbus,40.156250766618115,-82.85187812605169,25000,tabletop gaming store
No,,Columbus,40.156250766618115,-83.14572187394832,25000,tabletop gaming store
No,,Columbus,39.9612,-83.29264374789663,25000,tabletop gaming store
No,,Columbus,39.76614923338188,-83.14572187394832,25000,tabletop gaming store
No,,Columbus,39.76614923338188,-82.85187812605169,25000,tabletop gaming store
